time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-28 00:00:00+00:00,3,3,0,0
2025-07-29 00:00:00+00:00,1,1,0,0
2025-07-30 00:00:00+00:00,1,1,0,0
2025-07-31 00:00:00+00:00,1,1,0,0
2025-08-01 00:00:00+00:00,6,4,0,0
2025-08-02 00:00:00+00:00,1,1,0,0
2025-08-03 00:00:00+00:00,2,2,0,0
2025-08-04 00:00:00+00:00,2,2,0,0
2025-08-05 00:00:00+00:00,1,1,0,0
2025-08-06 00:00:00+00:00,1,1,0,0
2025-08-07 00:00:00+00:00,2,2,0,0
2025-08-08 00:00:00+00:00,3,3,0,0
2025-08-09 00:00:00+00:00,1,1,0,0
2025-08-10 00:00:00+00:00,5,5,0,0
2025-08-11 00:00:00+00:00,4,4,0,0
2025-08-12 00:00:00+00:00,6,6,0,0
2025-08-13 00:00:00+00:00,4,4,0,0
2025-08-14 00:00:00+00:00,3,3,0,0
2025-08-15 00:00:00+00:00,4,4,0,0
2025-08-16 00:00:00+00:00,2,2,0,0
2025-08-17 00:00:00+00:00,6,6,0,0
2025-08-18 00:00:00+00:00,5,5,0,0
2025-08-19 00:00:00+00:00,1,1,0,0
2025-08-20 00:00:00+00:00,2,2,0,0
2025-08-21 00:00:00+00:00,4,4,0,0
2025-08-22 00:00:00+00:00,1,1,0,0
2025-08-23 00:00:00+00:00,1,1,0,0
2025-08-24 00:00:00+00:00,5,5,0,0
2025-08-25 00:00:00+00:00,5,4,0,0
2025-08-26 00:00:00+00:00,1,1,0,0
2025-08-27 00:00:00+00:00,1,1,0,0
2025-08-28 00:00:00+00:00,1,1,0,0
2025-08-29 00:00:00+00:00,6,6,0,0
2025-08-30 00:00:00+00:00,5,5,0,0
2025-08-31 00:00:00+00:00,4,4,0,0
2025-09-01 00:00:00+00:00,5,5,0,0
2025-09-02 00:00:00+00:00,6,6,0,0
2025-09-03 00:00:00+00:00,6,6,0,0
2025-09-04 00:00:00+00:00,6,6,0,0
2025-09-05 00:00:00+00:00,2,2,0,0
2025-09-06 00:00:00+00:00,4,4,0,0
2025-09-07 00:00:00+00:00,6,6,0,0
2025-09-08 00:00:00+00:00,1,1,0,0
2025-09-09 00:00:00+00:00,7,7,1,1
2025-09-10 00:00:00+00:00,1,1,0,0
2025-09-11 00:00:00+00:00,2,2,18,1
2025-09-12 00:00:00+00:00,7,7,0,0
2025-09-13 00:00:00+00:00,3,3,0,0
2025-09-14 00:00:00+00:00,3,3,0,0
2025-09-15 00:00:00+00:00,1,1,0,0
2025-09-16 00:00:00+00:00,17,9,1,1
2025-09-17 00:00:00+00:00,4,4,1,1
2025-09-18 00:00:00+00:00,6,6,0,0
2025-09-19 00:00:00+00:00,2,2,0,0
2025-09-20 00:00:00+00:00,3,3,0,0
2025-09-21 00:00:00+00:00,3,3,0,0
2025-09-22 00:00:00+00:00,7,5,0,0
2025-09-23 00:00:00+00:00,5,3,0,0
2025-09-24 00:00:00+00:00,2,2,0,0
2025-09-25 00:00:00+00:00,7,7,0,0
2025-09-26 00:00:00+00:00,8,8,0,0
2025-09-27 00:00:00+00:00,1,1,0,0
2025-09-28 00:00:00+00:00,1,1,0,0
2025-09-29 00:00:00+00:00,2,2,0,0
2025-09-30 00:00:00+00:00,1,1,0,0
2025-10-01 00:00:00+00:00,5,5,0,0
2025-10-02 00:00:00+00:00,1,1,0,0
2025-10-03 00:00:00+00:00,1,1,0,0
2025-10-04 00:00:00+00:00,1,1,1,1
2025-10-05 00:00:00+00:00,5,5,0,0
2025-10-06 00:00:00+00:00,5,5,0,0
2025-10-07 00:00:00+00:00,4,4,0,0
2025-10-08 00:00:00+00:00,1,1,4,2
